,Mean temperature for Australia,Mean rainfall for Australia,Sea surface temperature in Australian region
,Annual mean temperature anomaly,Rank,Fraction of Australia in highest decile,Fraction of Australia in lowest decile,Annual mean rainfall,Rank,Fraction of Australia in highest decile,Fraction of Australia in lowest decile,Annual mean SST anomaly,Rank
2019,+1.52 °C,1,91.5 %,0.0 %,277.6 mm,120,0.9 %,68.2 %,+0.32 °C,20
2018,+1.14 °C,4,76.3 %,0.0 %,414.1 mm,81,5.8 %,15.8 %,+0.45 °C,11
2017,+1.09 °C,5,64.4 %,0.0 %,503.1 mm,30,17.6 %,1.8 %,+0.49 °C,8
2016,+1.00 °C,7,58.1 %,0.0 %,552.2 mm,13,33.4 %,1.3 %,+0.78 °C,1
2015,+0.95 °C,9,62.0 %,0.0 %,446.3 mm,60,5.1 %,6.4 %,+0.53 °C,5
2014,+1.04 °C,6,69.9 %,0.0 %,482.8 mm,40,10.4 %,2.3 %,+0.51 °C,6
2013,+1.33 °C,2,91.9 %,0.0 %,430.3 mm,67,6.0 %,11.3 %,+0.60 °C,3
2012,+0.24 °C,31,10.1 %,0.4 %,479.0 mm,41,3.6 %,3.7 %,+0.47 °C,9
2011,+0.00 °C,49,9.3 %,12.1 %,707.7 mm,2,60.6 %,0.0 %,+0.50 °C,7
2010,+0.33 °C,24,24.2 %,0.7 %,703.4 mm,3,55.7 %,3.9 %,+0.66 °C,2
2009,+0.92 °C,10,53.0 %,0.0 %,460.8 mm,53,7.0 %,4.5 %,+0.40 °C,13
2008,+0.45 °C,22,4.2 %,0.0 %,478.7 mm,42,6.5 %,3.7 %,+0.30 °C,22
2007,+0.75 °C,11,35.3 %,0.0 %,506.4 mm,29,8.6 %,2.9 %,+0.32 °C,20
2006,+0.50 °C,20,23.9 %,0.0 %,488.8 mm,37,18.5 %,16.3 %,+0.15 °C,31
2005,+1.15 °C,3,82.5 %,0.0 %,397.0 mm,92,0.4 %,5.1 %,+0.36 °C,16
2004,+0.53 °C,18,1.7 %,0.0 %,497.3 mm,32,9.4 %,1.2 %,+0.18 °C,29
2003,+0.69 °C,15,17.8 %,0.0 %,472.6 mm,45,8.3 %,1.5 %,+0.33 °C,18
2002,+0.71 °C,14,21.5 %,0.0 %,331.2 mm,117,0.8 %,35.3 %,+0.35 °C,17
2001,+0.04 °C,47,0.4 %,4.2 %,550.1 mm,14,28.1 %,1.9 %,+0.38 °C,15
2000,-0.04 °C,53,7.2 %,11.1 %,698.3 mm,4,54.7 %,0.7 %,+0.33 °C,18
1999,+0.31 °C,26,3.6 %,0.0 %,578.3 mm,9,23.2 %,0.5 %,+0.43 °C,12
1998,+0.96 °C,8,56.4 %,0.0 %,549.9 mm,15,12.4 %,0.1 %,+0.60 °C,3
1997,+0.30 °C,27,0.7 %,0.0 %,511.3 mm,27,12.1 %,1.7 %,+0.07 °C,36
1996,+0.59 °C,16,20.3 %,0.0 %,461.2 mm,51,2.6 %,5.8 %,+0.26 °C,24
1995,+0.16 °C,38,0.6 %,0.1 %,520.9 mm,23,15.6 %,0.0 %,+0.19 °C,28
1994,+0.18 °C,35,11.8 %,0.4 %,338.6 mm,115,0.0 %,24.3 %,-0.02 °C,47
1993,+0.30 °C,27,3.1 %,0.0 %,486.4 mm,39,11.8 %,3.3 %,-0.09 °C,58
1992,+0.12 °C,42,15.4 %,0.8 %,453.9 mm,56,23.9 %,13.1 %,+0.05 °C,37
1991,+0.59 °C,16,23.1 %,0.0 %,464.1 mm,50,6.2 %,3.7 %,+0.03 °C,41
1990,+0.47 °C,21,15.2 %,0.0 %,415.6 mm,78,2.9 %,10.0 %,+0.29 °C,23
