YYYY,MM,DD,DATE,CH4(ppb),SD(ppb),Source
1978,4,26,1978.317800000000,1479.00,0.700000,"Cape Grim air archive"
1978,7,7,1978.515100000000,1497.10,0.700000,"Cape Grim air archive"
1979,2,6,1979.101400000000,1495.10,1.80000,"Cape Grim air archive"
1980,9,3,1980.674900000000,1540.10,0.400000,"Cape Grim air archive"
1984,5,23,1984.393400000000,1590.90,0.500000,"Cape Grim air archive"
1984,8,15,1984.620219000000,1610.76,0.151900,"flask"
1984,9,15,1984.704918000000,1608.38,3.04340,"flask"
1984,10,15,1984.786885000000,1605.23,2.43460,"flask"
1984,11,15,1984.871585000000,1602.23,2.18400,"flask"
1984,12,15,1984.953552000000,1594.77,2.78390,"flask"
1985,1,15,1985.038356000000,1586.65,2.27480,"flask"
1985,2,15,1985.123288000000,1581.93,3.17590,"flask"
1985,3,15,1985.200000000000,1582.66,3.01940,"flask"
1985,4,15,1985.284932000000,1590.10,2.91250,"flask"
1985,5,15,1985.367123000000,1597.99,1.93010,"flask"
1985,6,15,1985.452055000000,1602.63,3.31270,"flask"
1985,7,15,1985.534247000000,1610.50,4.32440,"flask"
1985,8,15,1985.619178000000,1617.97,3.61640,"flask"
1985,9,15,1985.704110000000,1619.57,1.88270,"flask"
1985,10,15,1985.786301000000,1619.68,2.97310,"flask"
1985,11,15,1985.871233000000,1615.36,3.20030,"flask"
1985,12,15,1985.953425000000,1606.17,4.80650,"flask"
1986,1,15,1986.038356000000,1600.21,1.75330,"flask"
1986,2,15,1986.123288000000,1598.98,2.50540,"flask"
1986,3,15,1986.200000000000,1599.85,2.64480,"flask"
1986,4,15,1986.284932000000,1605.39,2.76970,"flask"
1986,5,15,1986.367123000000,1612.76,2.78040,"flask"
1986,6,15,1986.452055000000,1618.65,2.29480,"flask"
1986,7,15,1986.534247000000,1626.14,3.22230,"flask"
1986,8,15,1986.619178000000,1631.92,1.50270,"flask"
1986,9,15,1986.704110000000,1633.48,1.57410,"flask"
1986,10,15,1986.786301000000,1632.83,1.59440,"flask"
1986,11,15,1986.871233000000,1629.53,2.30000,"flask"
1986,12,15,1986.953425000000,1623.00,3.49740,"flask"
1987,1,15,1987.038356000000,1615.26,2.51270,"flask"
1987,2,15,1987.123288000000,1611.40,1.48680,"flask"
1987,3,15,1987.200000000000,1612.63,1.93830,"flask"
1987,4,15,1987.284932000000,1620.25,2.96930,"flask"
1987,5,15,1987.367123000000,1629.02,4.05110,"flask"
1987,6,15,1987.452055000000,1633.30,2.38400,"flask"
1987,7,15,1987.534247000000,1639.45,3.13040,"flask"
1987,8,15,1987.619178000000,1645.33,1.82120,"flask"
1987,9,15,1987.704110000000,1646.59,1.53200,"flask"
1987,10,15,1987.786301000000,1646.59,1.44760,"flask"
1987,11,15,1987.871233000000,1643.83,3.90960,"flask"
1987,12,15,1987.953425000000,1637.49,2.84510,"flask"
1988,1,15,1988.038251000000,1629.77,3.12670,"flask"
1988,2,15,1988.122951000000,1622.40,2.47780,"flask"
1988,3,15,1988.202186000000,1622.60,3.42600,"flask"
1988,4,15,1988.286885000000,1630.19,4.67860,"flask"
1988,5,15,1988.368852000000,1636.95,2.60130,"flask"
1988,6,15,1988.453552000000,1642.97,2.73470,"flask"
1988,7,15,1988.535519000000,1650.06,2.06880,"flask"
1988,8,15,1988.620219000000,1655.04,2.35580,"flask"
1988,9,15,1988.704918000000,1658.02,2.07580,"flask"
1988,10,15,1988.786885000000,1658.13,1.91020,"flask"
1988,11,15,1988.871585000000,1651.99,3.92250,"flask"
1988,12,15,1988.953552000000,1643.77,2.56750,"flask"
1989,1,15,1989.038356000000,1641.59,2.93160,"flask"
1989,2,15,1989.123288000000,1642.62,2.53250,"flask"
1989,3,15,1989.200000000000,1640.49,2.13250,"flask"
1989,4,15,1989.284932000000,1642.10,2.67640,"flask"
1989,5,15,1989.367123000000,1649.81,4.08270,"flask"
1989,6,15,1989.452055000000,1657.41,2.00200,"flask"
1989,7,15,1989.534247000000,1663.96,2.73220,"flask"
1989,8,15,1989.619178000000,1668.44,2.33720,"flask"
1989,9,15,1989.704110000000,1669.35,1.94840,"flask"
1989,10,15,1989.786301000000,1668.40,2.23490,"flask"
1989,11,15,1989.871233000000,1664.55,2.57510,"flask"
1989,12,15,1989.953425000000,1656.97,3.70040,"flask"
1990,1,15,1990.038356000000,1648.70,2.53230,"flask"
1990,2,15,1990.123288000000,1644.23,1.65790,"flask"
1990,3,15,1990.200000000000,1645.37,1.66340,"flask"
1990,4,15,1990.284932000000,1650.99,2.22460,"flask"
1990,5,15,1990.367123000000,1659.23,2.94050,"flask"
1990,6,15,1990.452055000000,1666.21,3.76270,"flask"
1990,7,15,1990.534247000000,1671.14,2.02600,"flask"
1990,8,15,1990.619178000000,1674.71,2.35930,"flask"
1990,9,15,1990.704110000000,1676.44,2.47000,"flask"
1990,10,15,1990.786301000000,1676.53,1.42240,"flask"
1990,11,15,1990.871233000000,1673.79,2.20680,"flask"
1990,12,15,1990.953425000000,1665.73,3.48040,"flask"
1991,1,15,1991.038356000000,1655.78,2.49220,"flask"
1991,2,15,1991.123288000000,1652.51,1.16570,"flask"
1991,3,15,1991.200000000000,1654.41,1.53860,"flask"
1991,4,15,1991.284932000000,1660.14,3.52980,"flask"
1991,5,15,1991.367123000000,1669.36,4.69490,"flask"
1991,6,15,1991.452055000000,1675.71,3.52350,"flask"
1991,7,15,1991.534247000000,1681.19,2.34150,"flask"
1991,8,15,1991.619178000000,1685.36,2.21130,"flask"
1991,9,15,1991.704110000000,1688.59,2.21140,"flask"
1991,10,15,1991.786301000000,1694.28,4.51570,"flask"
1991,11,15,1991.871233000000,1690.92,3.42890,"flask"
1991,12,15,1991.953425000000,1680.71,3.26080,"flask"
1992,1,15,1992.038251000000,1674.90,2.97830,"flask"
1992,2,15,1992.122951000000,1672.44,0.395200,"flask"
1992,3,15,1992.202186000000,1672.93,1.73590,"flask"
1992,4,15,1992.286885000000,1676.68,1.64030,"flask"
1992,5,15,1992.368852000000,1682.60,2.35130,"flask"
1992,6,15,1992.453552000000,1689.45,2.64350,"flask"
1992,7,15,1992.535519000000,1695.94,2.55220,"flask"
1992,8,15,1992.620219000000,1700.66,1.98230,"flask"
1992,9,15,1992.704918000000,1702.11,1.85250,"flask"
1992,10,15,1992.786885000000,1698.35,2.36530,"flask"
1992,11,15,1992.871585000000,1692.55,3.62260,"flask"
1992,12,15,1992.953552000000,1686.58,2.65270,"flask"
1993,1,15,1993.038356000000,1676.84,3.57720,"flask"
1993,2,15,1993.123288000000,1671.30,1.62410,"flask"
1993,3,15,1993.200000000000,1673.51,3.49520,"flask"
1993,4,15,1993.284932000000,1679.27,2.60880,"flask"
1993,5,15,1993.367123000000,1686.10,3.16850,"flask"
1993,6,15,1993.452055000000,1691.70,1.74770,"flask"
1993,7,15,1993.534247000000,1696.55,4.41070,"flask"
1993,8,15,1993.619178000000,1701.04,1.80990,"flask"
1993,9,15,1993.704110000000,1702.59,0.216000,"flask"
1993,10,15,1993.786301000000,1701.13,2.34760,"flask"
1993,11,15,1993.871233000000,1696.63,2.12000,"flask"
1993,12,15,1993.953425000000,1689.82,2.89100,"flask"
1994,1,15,1994.038356000000,1681.73,2.38970,"flask"
1994,2,15,1994.123288000000,1676.04,2.46800,"flask"
1994,3,15,1994.200000000000,1676.04,2.35730,"flask"
1994,4,15,1994.284932000000,1681.49,3.19860,"flask"
1994,5,15,1994.367123000000,1689.88,3.77230,"flask"
1994,6,15,1994.452055000000,1697.31,3.15770,"flask"
1994,7,15,1994.534247000000,1703.24,2.97660,"flask"
1994,8,15,1994.619178000000,1706.72,2.51950,"flask"
1994,9,15,1994.704110000000,1707.10,2.57360,"flask"
1994,10,15,1994.786301000000,1708.01,1.27580,"flask"
1994,11,15,1994.871233000000,1704.84,2.77950,"flask"
1994,12,15,1994.953425000000,1696.91,3.29100,"flask"
1995,1,15,1995.038356000000,1689.88,2.57890,"flask"
1995,2,15,1995.123288000000,1685.46,1.14930,"flask"
1995,3,15,1995.200000000000,1684.36,2.04360,"flask"
1995,4,15,1995.284932000000,1688.09,2.03350,"flask"
1995,5,15,1995.367123000000,1695.03,3.28780,"flask"
1995,6,15,1995.452055000000,1701.09,3.33250,"flask"
1995,7,15,1995.534247000000,1706.03,2.19370,"flask"
1995,8,15,1995.619178000000,1711.52,2.06850,"flask"
1995,9,15,1995.704110000000,1714.67,1.91020,"flask"
1995,10,15,1995.786301000000,1713.55,2.42890,"flask"
1995,11,15,1995.871233000000,1710.06,2.30400,"flask"
1995,12,15,1995.953425000000,1702.89,3.45620,"flask"
1996,1,15,1996.038251000000,1693.34,3.41690,"flask"
1996,2,15,1996.122951000000,1686.66,2.50480,"flask"
1996,3,15,1996.202186000000,1684.71,3.22030,"flask"
1996,4,15,1996.286885000000,1689.91,3.08450,"flask"
1996,5,15,1996.368852000000,1698.19,2.99470,"flask"
1996,6,15,1996.453552000000,1703.65,2.79170,"flask"
1996,7,15,1996.535519000000,1708.95,2.47830,"flask"
1996,8,15,1996.620219000000,1714.50,2.65010,"flask"
1996,9,15,1996.704918000000,1716.57,2.14750,"flask"
1996,10,15,1996.786885000000,1714.85,2.07540,"flask"
1996,11,15,1996.871585000000,1709.84,2.78370,"flask"
1996,12,15,1996.953552000000,1702.31,3.08630,"flask"
1997,1,15,1997.038356000000,1694.55,2.56060,"flask"
1997,2,15,1997.123288000000,1691.26,1.65950,"flask"
1997,3,15,1997.200000000000,1695.06,3.09790,"flask"
1997,4,15,1997.284932000000,1699.98,2.73120,"flask"
1997,5,15,1997.367123000000,1705.38,2.92720,"flask"
1997,6,15,1997.452055000000,1712.39,2.03900,"flask"
1997,7,15,1997.534247000000,1717.67,2.08000,"flask"
1997,8,15,1997.619178000000,1722.23,1.83270,"flask"
1997,9,15,1997.704110000000,1723.25,1.69950,"flask"
1997,10,15,1997.786301000000,1720.40,2.17160,"flask"
1997,11,15,1997.871233000000,1715.90,2.05520,"flask"
1997,12,15,1997.953425000000,1711.05,2.31960,"flask"
1998,1,15,1998.038356000000,1704.65,2.63950,"flask"
1998,2,15,1998.123288000000,1698.98,1.83620,"flask"
1998,3,15,1998.200000000000,1697.59,2.25870,"flask"
1998,4,15,1998.284932000000,1700.98,2.96000,"flask"
1998,5,15,1998.367123000000,1709.74,4.17680,"flask"
1998,6,15,1998.452055000000,1718.65,2.44840,"flask"
1998,7,15,1998.534247000000,1724.08,3.20400,"flask"
1998,8,15,1998.619178000000,1729.08,1.75840,"flask"
1998,9,15,1998.704110000000,1732.85,1.95700,"flask"
1998,10,15,1998.786301000000,1732.65,1.10500,"flask"
1998,11,15,1998.871233000000,1728.03,3.39490,"flask"
1998,12,15,1998.953425000000,1720.82,3.02920,"flask"
1999,1,15,1999.038356000000,1714.12,2.08750,"flask"
