YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),Source
1978,4,26,1978.317800000000,299.190,0.230000,"Cape Grim air archive"
1978,7,7,1978.515100000000,299.550,0.190000,"Cape Grim air archive"
1980,9,3,1980.674900000000,301.660,0.0700000,"Cape Grim air archive"
1981,10,5,1981.761600000000,301.840,0.110000,"Cape Grim air archive"
1984,5,23,1984.393400000000,302.980,0.110000,"Cape Grim air archive"
1986,2,6,1986.101400000000,304.510,0.0900000,"Cape Grim air archive"
1986,11,12,1986.865800000000,304.410,0.110000,"Cape Grim air archive"
1987,1,8,1987.021900000000,304.950,0.120000,"Cape Grim air archive"
1987,5,28,1987.405500000000,305.320,0.0800000,"Cape Grim air archive"
1988,6,21,1988.472700000000,305.650,0.0600000,"Cape Grim air archive"
1989,5,19,1989.380800000000,307.060,0.0400000,"Cape Grim air archive"
1989,11,8,1989.854800000000,307.490,0.0800000,"Cape Grim air archive"
1990,2,16,1990.128800000000,307.650,0.120000,"Cape Grim air archive"
1990,4,26,1990.317800000000,307.570,0.300000,"Cape Grim air archive"
1990,5,25,1990.397300000000,307.780,0.0600000,"Cape Grim air archive"
1990,11,13,1990.868500000000,308.270,0.160000,"Cape Grim air archive"
1990,12,18,1990.964400000000,308.260,0.130000,"Cape Grim air archive"
1991,6,19,1991.465800000000,308.670,0.0400000,"Cape Grim air archive"
1992,1,16,1992.043700000000,309.440,0.0700000,"Cape Grim air archive"
1992,2,12,1992.117500000000,309.290,0.0600000,"Cape Grim air archive"
1992,3,18,1992.213100000000,309.070,0.0900000,"Cape Grim air archive"
1992,4,8,1992.270500000000,309.070,0.100000,"Cape Grim air archive"
1992,8,15,1992.620219000000,309.133,0.354100,"flask"
1992,9,15,1992.704918000000,309.317,0.289600,"flask"
1992,10,15,1992.786885000000,309.413,0.293600,"flask"
1992,11,15,1992.871585000000,309.439,0.323500,"flask"
1992,12,15,1992.953552000000,309.474,0.102900,"flask"
1993,1,15,1993.038356000000,309.361,0.230500,"flask"
1993,2,15,1993.123288000000,309.148,0.455500,"flask"
1993,3,15,1993.200000000000,308.893,0.274800,"flask"
1993,4,15,1993.284932000000,308.847,0.320400,"flask"
1993,5,15,1993.367123000000,309.005,0.165100,"flask"
1993,6,15,1993.452055000000,309.035,0.252000,"flask"
1993,7,15,1993.534247000000,309.145,0.414100,"flask"
1993,8,15,1993.619178000000,309.387,0.336200,"flask"
1993,9,15,1993.704110000000,309.485,0.0828000,"flask"
1993,10,15,1993.786301000000,309.640,0.264900,"flask"
1993,11,15,1993.871233000000,309.654,0.415300,"flask"
1993,12,15,1993.953425000000,309.460,0.0492000,"flask"
1994,1,15,1994.038356000000,309.335,0.0293000,"flask"
1994,2,15,1994.123288000000,309.349,0.0530000,"flask"
1994,3,15,1994.200000000000,309.628,0.174800,"flask"
1994,4,15,1994.284932000000,309.679,0.399200,"flask"
1994,5,15,1994.367123000000,309.728,0.315600,"flask"
1994,6,15,1994.452055000000,310.025,0.326300,"flask"
1994,7,15,1994.534247000000,310.102,0.230500,"flask"
1994,8,15,1994.619178000000,310.220,0.329500,"flask"
1994,9,15,1994.704110000000,310.274,0.332700,"flask"
1994,10,15,1994.786301000000,310.125,0.315000,"flask"
1994,11,15,1994.871233000000,310.147,0.325000,"flask"
1994,12,15,1994.953425000000,310.363,0.281400,"flask"
1995,1,15,1995.038356000000,310.469,0.329700,"flask"
1995,2,15,1995.123288000000,310.264,0.217800,"flask"
1995,3,15,1995.200000000000,309.979,0.331600,"flask"
1995,4,15,1995.284932000000,309.938,0.314400,"flask"
1995,5,15,1995.367123000000,310.135,0.336900,"flask"
1995,6,15,1995.452055000000,310.217,0.273300,"flask"
1995,7,15,1995.534247000000,310.150,0.348000,"flask"
1995,8,15,1995.619178000000,310.487,0.301500,"flask"
1995,9,15,1995.704110000000,310.881,0.226600,"flask"
1995,10,15,1995.786301000000,310.914,0.221300,"flask"
1995,11,15,1995.871233000000,310.973,0.241200,"flask"
1995,12,15,1995.953425000000,311.180,0.264500,"flask"
1996,1,15,1996.038251000000,311.160,0.249200,"flask"
1996,2,15,1996.122951000000,310.937,0.277700,"flask"
1996,3,15,1996.202186000000,310.887,0.181500,"flask"
1996,4,15,1996.286885000000,310.782,0.290300,"flask"
1996,5,15,1996.368852000000,310.700,0.278600,"flask"
1996,6,15,1996.453552000000,310.785,0.316900,"flask"
1996,7,15,1996.535519000000,310.978,0.313900,"flask"
1996,8,15,1996.620219000000,311.251,0.306000,"flask"
1996,9,15,1996.704918000000,311.373,0.372300,"flask"
1996,10,15,1996.786885000000,311.462,0.262500,"flask"
1996,11,15,1996.871585000000,311.534,0.194700,"flask"
1996,12,15,1996.953552000000,311.736,0.198100,"flask"
1997,1,15,1997.038356000000,311.921,0.139900,"flask"
1997,2,15,1997.123288000000,311.888,0.239900,"flask"
1997,3,15,1997.200000000000,311.882,0.369100,"flask"
1997,4,15,1997.284932000000,311.699,0.285600,"flask"
1997,5,15,1997.367123000000,311.685,0.309300,"flask"
1997,6,15,1997.452055000000,311.913,0.319500,"flask"
1997,7,15,1997.534247000000,311.898,0.342600,"flask"
1997,8,15,1997.619178000000,312.128,0.253600,"flask"
1997,9,15,1997.704110000000,312.524,0.226400,"flask"
1997,10,15,1997.786301000000,312.693,0.331100,"flask"
1997,11,15,1997.871233000000,312.797,0.131800,"flask"
1997,12,15,1997.953425000000,312.869,0.253900,"flask"
1998,1,15,1998.038356000000,312.881,0.292500,"flask"
1998,2,15,1998.123288000000,312.770,0.242200,"flask"
1998,3,15,1998.200000000000,312.565,0.222700,"flask"
1998,4,15,1998.284932000000,312.481,0.253800,"flask"
1998,5,15,1998.367123000000,312.518,0.292200,"flask"
1998,6,15,1998.452055000000,312.623,0.369900,"flask"
1998,7,15,1998.534247000000,312.943,0.234800,"flask"
1998,8,15,1998.619178000000,313.270,0.211000,"flask"
1998,9,15,1998.704110000000,313.414,0.410400,"flask"
1998,10,15,1998.786301000000,313.471,0.313200,"flask"
1998,11,15,1998.871233000000,313.571,0.265500,"flask"
1998,12,15,1998.953425000000,313.742,0.164900,"flask"
1999,1,15,1999.038356000000,313.802,0.327000,"flask"
1999,2,15,1999.123288000000,313.789,0.246400,"flask"
1999,3,15,1999.200000000000,313.820,0.326600,"flask"
1999,4,15,1999.284932000000,313.711,0.208400,"flask"
1999,5,15,1999.367123000000,313.569,0.268900,"flask"
1999,6,15,1999.452055000000,313.624,0.262200,"flask"
1999,7,15,1999.534247000000,313.777,0.137200,"flask"
1999,8,15,1999.619178000000,313.964,0.234100,"flask"
1999,9,15,1999.704110000000,314.209,0.331100,"flask"
1999,10,15,1999.786301000000,314.344,0.187800,"flask"
1999,11,15,1999.871233000000,314.350,0.248600,"flask"
1999,12,15,1999.953425000000,314.533,0.233500,"flask"
2000,1,15,2000.038251000000,314.726,0.233400,"flask"
2000,2,15,2000.122951000000,314.632,0.270800,"flask"
2000,3,15,2000.202186000000,314.516,0.279800,"flask"
2000,4,15,2000.286885000000,314.433,0.591000,"flask"
2000,5,15,2000.368852000000,314.538,0.373700,"flask"
2000,6,15,2000.453552000000,314.715,0.0857000,"flask"
2000,7,15,2000.535519000000,314.654,0.378300,"flask"
2000,8,15,2000.620219000000,314.719,0.161600,"flask"
2000,9,15,2000.704918000000,314.963,0.299400,"flask"
2000,10,15,2000.786885000000,315.107,0.278200,"flask"
2000,11,15,2000.871585000000,315.252,0.184800,"flask"
2000,12,15,2000.953552000000,315.360,0.135300,"flask"
2001,1,15,2001.038356000000,315.268,0.232400,"flask"
2001,2,15,2001.123288000000,315.103,0.110700,"flask"
2001,3,15,2001.200000000000,314.892,0.273600,"flask"
