air_pollutant_year,CO2_ppm,CH4_ppb,N2O_ppb
1978,333.476,1488.05,299.37
1980,336.5261666666667,1540.1,301.66
1984,341.83916666666664,1602.045,302.98
1986,344.4669999999999,1617.7283333333332,304.46000000000004
1987,346.13208333333336,1631.761666666667,305.135
1988,348.29958333333326,1641.824166666667,305.65
1989,349.50025000000005,1655.4741666666669,307.275
1990,350.97841666666665,1662.7558333333334,307.906
1991,352.691,1674.08,308.67
1992,354.17291666666665,1687.0991666666669,309.29400000000004
1993,354.9213333333333,1688.8733333333337,309.25500000000005
1994,356.3644166666667,1694.1091666666664,309.91458333333327
1995,358.3995,1700.2191666666668,310.4655833333333
1996,359.9101666666666,1701.9566666666667,311.1320833333333
1997,361.2528333333334,1709.0933333333332,312.1580833333333
1998,363.75533333333334,1716.5083333333332,313.02075
1999,365.69441666666665,1726.6483333333333,313.9576666666666
2000,366.97683333333333,1728.1158333333333,314.80125
2001,368.5001666666667,1726.760833333333,315.3310000000001
2002,370.634,1728.7716666666668,316.03591666666665
2003,372.89625,1729.3858333333335,316.5444166666667
2004,374.76899999999995,1728.8316666666667,317.35133333333334
2005,376.75525,1728.0674999999999,318.049
2006,378.67900000000003,1727.4899999999998,318.8494166666666
2007,380.56266666666664,1732.9391666666668,319.5004166666667
2008,382.69225,1741.4816666666668,320.7540833333333
2009,384.2558333333333,1743.925,321.41724999999997
2010,386.07400000000007,1750.4749999999997,322.42275
2011,387.939,1757.9075000000003,323.25466666666665
2012,389.97166666666664,1762.0325,324.2939166666667
2013,392.824,1765.7308333333333,325.08700000000005
2014,394.8339166666667,1775.1158333333333,325.98275000000007
2015,397.30391666666674,1785.9466666666667,327.11100000000005
2016,400.4696666666666,1791.7216666666666,327.77866666666665
2017,402.43725,1798.4591666666668,328.66391666666664
2018,404.9089166666667,1810.7141666666666,330.23025
2019,407.3383333333333,1816.7491666666665,330.72227272727275
