number,year,new_south_wales_cip,victoria_cpi,queensland_cpi,southern_australia_cpi,western_australia_cip,tasmania_cpi,nothern_territory_cpi,australian_capital_territory_cpi
0,1948,3.7,3.8,3.7,3.8,3.7,3.8,NULL,3.9
1,1948,3.7,3.8,3.7,3.9,3.8,3.9,NULL,4.1
2,1949,3.9,3.9,3.8,4,3.9,4,NULL,4.1
3,1949,3.9,4,3.9,4,4,4.1,NULL,4.2
4,1949,4,4.1,4,4.1,4.1,4.1,NULL,4.3
5,1949,4.1,4.2,4.1,4.1,4.2,4.2,NULL,4.3
6,1950,4.1,4.3,4.1,4.2,4.2,4.2,NULL,4.4
7,1950,4.3,4.4,4.2,4.4,4.4,4.3,NULL,4.6
8,1950,4.4,4.5,4.3,4.4,4.5,4.4,NULL,4.7
9,1950,4.6,4.6,4.4,4.6,4.6,4.5,NULL,4.8
10,1951,4.7,4.9,4.7,4.8,4.8,4.8,NULL,5.1
11,1951,5.1,5.1,4.9,5.1,5.1,5.2,NULL,5.4
12,1951,5.4,5.4,5.1,5.4,5.4,5.4,NULL,5.7
13,1951,5.7,5.8,5.6,5.7,5.7,5.8,NULL,6
14,1952,5.9,5.9,5.8,5.9,6,6,NULL,6.2
15,1952,6.1,6.2,5.9,6.2,6.2,6.2,NULL,6.5
16,1952,6.2,6.3,6.1,6.3,6.4,6.3,NULL,6.7
17,1952,6.3,6.3,6.1,6.3,6.4,6.4,NULL,6.7
18,1953,6.3,6.4,6.1,6.4,6.5,6.5,NULL,6.8
19,1953,6.4,6.5,6.2,6.4,6.5,6.6,NULL,6.8
20,1953,6.4,6.5,6.2,6.5,6.6,6.8,NULL,6.9
21,1953,6.4,6.5,6.2,6.5,6.6,6.8,NULL,7
22,1954,6.4,6.5,6.2,6.5,6.6,6.8,NULL,6.9
23,1954,6.4,6.5,6.2,6.5,6.7,6.8,NULL,6.9
24,1954,6.4,6.4,6.2,6.5,6.7,6.7,NULL,6.9
25,1954,6.4,6.4,6.2,6.5,6.7,6.7,NULL,7
26,1955,6.5,6.5,6.3,6.6,6.7,6.8,NULL,7
27,1955,6.5,6.6,6.3,6.6,6.8,6.8,NULL,7.1
28,1955,6.5,6.7,6.3,6.6,6.8,7,NULL,7.2
29,1955,6.6,6.8,6.4,6.7,6.9,7.1,NULL,7.2
30,1956,6.6,6.9,6.5,6.8,6.9,7.2,NULL,7.3
31,1956,6.9,7.2,6.7,7,7.1,7.4,NULL,7.4
32,1956,7.1,7.3,6.8,7.1,7.1,7.5,NULL,7.6
33,1956,7.1,7.3,6.8,7.1,7.2,7.6,NULL,7.7
34,1957,7.1,7.2,6.8,7,7.2,7.6,NULL,7.7
35,1957,7.1,7.3,6.9,7.1,7.3,7.6,NULL,7.7
36,1957,7.2,7.3,6.9,7.1,7.3,7.6,NULL,7.7
37,1957,7.2,7.3,6.9,7.1,7.2,7.6,NULL,7.7
38,1958,7.3,7.3,7,7.1,7.2,7.6,NULL,7.7
39,1958,7.3,7.3,7,7.1,7.3,7.6,NULL,7.8
40,1958,7.2,7.3,7.1,7.2,7.3,7.6,NULL,7.7
41,1958,7.3,7.5,7.2,7.2,7.3,7.7,NULL,7.8
42,1959,7.3,7.5,7.2,7.3,7.4,7.7,NULL,7.8
43,1959,7.3,7.5,7.2,7.3,7.4,7.7,NULL,7.9
44,1959,7.3,7.6,7.3,7.4,7.4,7.7,NULL,7.9
45,1959,7.4,7.6,7.4,7.4,7.4,7.7,NULL,7.9
46,1960,7.4,7.7,7.4,7.5,7.5,7.8,NULL,8
47,1960,7.5,7.9,7.4,7.6,7.6,7.9,NULL,8
48,1960,7.6,8,7.5,7.7,7.7,8.1,NULL,8.2
49,1960,7.7,8,7.6,7.8,7.7,8.2,NULL,8.2
50,1961,7.7,8,7.7,7.8,7.8,8.3,NULL,8.2
51,1961,7.8,8.1,7.7,7.9,7.9,8.3,NULL,8.3
52,1961,7.7,8.1,7.7,7.8,7.8,8.4,NULL,8.3
53,1961,7.7,8.1,7.7,7.8,7.7,8.3,NULL,8.4
54,1962,7.7,8,7.8,7.7,7.8,8.3,NULL,8.3
55,1962,7.7,8,7.8,7.7,7.8,8.3,NULL,8.3
56,1962,7.7,8,7.8,7.7,7.8,8.3,NULL,8.3
57,1962,7.8,8,7.8,7.7,7.8,8.3,NULL,8.4
58,1963,7.8,8,7.8,7.7,7.9,8.3,NULL,8.3
59,1963,7.8,8.1,7.8,7.8,7.9,8.3,NULL,8.3
60,1963,7.8,8.1,7.8,7.8,7.9,8.3,NULL,8.4
61,1963,7.8,8.1,7.8,7.8,7.9,8.4,NULL,8.4
62,1964,7.8,8.1,7.9,7.8,8,8.4,NULL,8.4
63,1964,7.9,8.2,8,8,8,8.4,NULL,8.4
64,1964,8,8.2,8.1,8.1,8.1,8.5,NULL,8.5
65,1964,8.1,8.4,8.1,8.2,8.1,8.6,NULL,8.7
66,1965,8.1,8.5,8.2,8.2,8.2,8.6,NULL,8.7
67,1965,8.2,8.6,8.3,8.2,8.3,8.8,NULL,8.8
68,1965,8.3,8.6,8.4,8.3,8.4,8.9,NULL,8.8
