annual_rainfall_decile10_year,rainfall_total_land_area_percentage
1900,7.9
1901,1.0
1902,2.9
1903,9.9
1904,14.1
1905,0.7
1906,13.8
1907,1.9
1908,7.0
1909,5.5
1910,16.0
1911,3.9
1912,0.3
1913,2.5
1914,1.6
1915,7.6
1916,12.0
1917,26.0
1918,4.1
1919,0.9
1920,16.4
1921,19.8
1922,0.9
1923,4.3
1924,5.3
1925,0.8
1926,8.3
1927,3.0
1928,1.2
1929,0.9
1930,5.9
1931,6.3
1932,1.3
1933,2.4
1934,4.8
1935,0.5
1936,2.9
1937,0.1
1938,0.2
1939,10.2
1940,2.4
1941,5.0
1942,24.6
1943,2.0
1944,0.5
1945,2.4
1946,4.1
1947,7.4
1948,1.2
1949,5.6
1950,34.9
1951,1.6
1952,3.6
1953,2.4
1954,7.7
1955,32.0
1956,33.4
1957,0.6
1958,4.4
1959,3.6
1960,9.6
1961,2.0
1962,1.2
1963,15.5
1964,3.9
1965,1.3
1966,2.4
1967,5.1
1968,17.7
1969,2.9
1970,1.8
1971,5.1
1972,0.3
1973,43.2
1974,69.8
1975,29.4
1976,18.7
1977,9.1
1978,13.3
1979,8.9
1980,6.8
1981,8.6
1982,10.3
1983,13.3
1984,14.2
1985,0.9
1986,0.1
1987,1.8
1988,5.5
1989,10.8
1990,2.9
1991,6.2
1992,23.9
1993,11.8
1994,0.0
1995,15.6
1996,2.6
1997,12.1
1998,12.4
1999,23.2
2000,54.7
2001,28.1
2002,0.8
2003,8.3
2004,9.4
2005,0.4
2006,18.5
2007,8.6
2008,6.5
2009,7.0
2010,55.7
2011,60.6
2012,3.6
2013,6.0
2014,10.4
2015,5.1
2016,33.4
2017,17.6
2018,5.8
2019,0.8
