year,max_temp_anomaly_celcius
1910,-0.71
1911,-0.51
1912,-0.0
1913,-0.71
1914,0.18
1915,0.22
1916,-0.76
1917,-1.43
1918,-0.34
1919,0.02
1920,-0.82
1921,-0.44
1922,-0.22
1923,-0.18
1924,-0.52
1925,-0.61
1926,0.03
1927,-0.27
1928,0.43
1929,-0.63
1930,-0.31
1931,-0.59
1932,-0.33
1933,-0.52
1934,-0.44
1935,-0.33
1936,-0.02
1937,-0.17
1938,0.32
1939,-0.81
1940,0.15
1941,-0.68
1942,0.04
1943,-0.38
1944,-0.04
1945,-0.18
1946,-0.27
1947,-0.39
1948,-0.08
1949,-0.88
1950,-0.77
1951,-0.13
1952,-0.28
1953,-0.22
1954,-0.33
1955,-0.72
1956,-1.11
1957,0.38
1958,0.11
1959,0.23
1960,-0.69
1961,0.29
1962,-0.08
1963,-0.31
1964,-0.21
1965,0.41
1966,-0.56
1967,-0.1
1968,-0.67
1969,0.15
1970,0.15
1971,-0.25
1972,0.44
1973,0.07
1974,-1.05
1975,-0.29
1976,-0.52
1977,0.17
1978,-0.5
1979,0.43
1980,0.93
1981,0.17
1982,0.21
1983,0.15
1984,-0.46
1985,0.3
1986,0.17
1987,0.12
1988,0.64
1989,-0.23
1990,0.37
1991,0.71
1992,-0.14
1993,0.07
1994,0.65
1995,-0.05
1996,0.63
1997,0.24
1998,0.65
1999,0.19
2000,-0.33
2001,0.08
2002,1.33
2003,0.76
2004,0.64
2005,1.31
2006,0.64
2007,0.85
2008,0.57
2009,1.13
2010,-0.09
2011,-0.1
2012,0.64
2013,1.59
2014,1.3
2015,1.09
2016,0.84
2017,1.42
2018,1.55
2019,2.09
