max_temp_decile10_year,maxtemp_total_land_area_percentage
1910,0.0
1911,0.0
1912,0.9
1913,0.0
1914,12.0
1915,18.2
1916,0.0
1917,0.0
1918,0.0
1919,8.3
1920,0.0
1921,0.7
1922,0.0
1923,0.1
1924,0.3
1925,0.0
1926,8.7
1927,0.0
1928,2.4
1929,0.0
1930,0.3
1931,3.9
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,1.6
1937,0.0
1938,0.9
1939,0.0
1940,1.7
1941,0.0
1942,6.8
1943,1.9
1944,2.2
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,4.7
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,2.8
1958,2.3
1959,1.8
1960,0.0
1961,4.5
1962,0.0
1963,0.0
1964,0.4
1965,0.4
1966,0.0
1967,0.2
1968,0.0
1969,0.1
1970,3.5
1971,0.3
1972,5.8
1973,0.3
1974,0.0
1975,0.0
1976,0.0
1977,5.4
1978,0.2
1979,0.0
1980,32.5
1981,0.1
1982,4.3
1983,0.4
1984,0.0
1985,0.0
1986,3.9
1987,0.0
1988,23.8
1989,0.6
1990,12.5
1991,13.7
1992,10.6
1993,0.0
1994,18.7
1995,0.0
1996,13.7
1997,0.5
1998,18.1
1999,1.1
2000,1.5
2001,1.7
2002,83.1
2003,11.2
2004,4.8
2005,78.0
2006,28.4
2007,35.4
2008,6.6
2009,59.6
2010,16.1
2011,3.2
2012,16.6
2013,86.9
2014,71.3
2015,48.6
2016,32.6
2017,78.1
2018,87.9
2019,90.7
