min_temp_anomaly_year,min_temp_anomaly_celcius
1910,-0.32
1911,-0.86
1912,-0.41
1913,-1.03
1914,0.04
1915,-0.07
1916,-0.39
1917,-1.07
1918,-0.75
1919,-0.34
1920,-0.27
1921,-0.05
1922,-0.74
1923,-0.59
1924,-0.89
1925,-0.94
1926,-0.4
1927,-0.77
1928,-0.13
1929,-1.13
1930,-0.2
1931,-0.61
1932,-0.52
1933,-0.41
1934,-0.32
1935,-0.67
1936,-0.28
1937,-0.55
1938,0.04
1939,-0.45
1940,-0.65
1941,-0.45
1942,0.09
1943,-0.88
1944,-0.76
1945,-0.42
1946,-1.19
1947,-0.13
1948,-0.85
1949,-1.01
1950,-0.44
1951,-0.72
1952,-0.6
1953,-0.69
1954,-0.42
1955,0.05
1956,-0.74
1957,-0.32
1958,0.14
1959,0.23
1960,-0.63
1961,-0.21
1962,-0.15
1963,0.05
1964,-0.24
1965,0.08
1966,-0.46
1967,-0.35
1968,-0.11
1969,-0.2
1970,-0.36
1971,-0.2
1972,-0.14
1973,0.98
1974,-0.36
1975,-0.16
1976,-0.99
1977,-0.25
1978,-0.12
1979,0.3
1980,0.53
1981,0.36
1982,-0.28
1983,0.5
1984,-0.33
1985,0.1
1986,0.24
1987,0.22
1988,0.81
1989,0.17
1990,0.55
1991,0.47
1992,0.36
1993,0.52
1994,-0.3
1995,0.36
1996,0.54
1997,0.35
1998,1.26
1999,0.43
2000,0.24
2001,-0.0
2002,0.08
2003,0.61
2004,0.42
2005,0.99
2006,0.34
2007,0.65
2008,0.32
2009,0.71
2010,0.74
2011,0.09
2012,-0.17
2013,1.06
2014,0.78
2015,0.81
2016,1.16
2017,0.75
2018,0.73
2019,0.95
