sea_surface_temp_anomaly_year,sea_surface_temp_anomaly_celcius
1900,-0.08
1901,-0.49
1902,-0.68
1903,-0.55
1904,-0.63
1905,-0.63
1906,-0.47
1907,-0.42
1908,-0.65
1909,-0.41
1910,-0.34
1911,-0.49
1912,-0.43
1913,-0.59
1914,-0.4
1915,-0.18
1916,-0.2
1917,-0.3
1918,-0.28
1919,-0.48
1920,-0.29
1921,-0.08
1922,-0.28
1923,-0.49
1924,-0.28
1925,-0.59
1926,-0.46
1927,-0.47
1928,-0.3
1929,-0.68
1930,-0.58
1931,-0.39
1932,-0.45
1933,-0.38
1934,-0.37
1935,-0.46
1936,-0.39
1937,-0.44
1938,-0.13
1939,-0.42
1940,-0.34
1941,-0.08
1942,0.01
1943,-0.08
1944,-0.11
1945,0.05
1946,-0.31
1947,-0.46
1948,-0.43
1949,-0.45
1950,-0.09
1951,-0.4
1952,-0.34
1953,-0.41
1954,-0.37
1955,-0.25
1956,-0.15
1957,-0.3
1958,-0.07
1959,-0.05
1960,-0.16
1961,-0.12
1962,0.04
1963,-0.14
1964,-0.19
1965,-0.5
1966,-0.37
1967,-0.26
1968,-0.35
1969,-0.07
1970,0.09
1971,-0.05
1972,-0.13
1973,0.21
1974,0.02
1975,0.08
1976,-0.07
1977,-0.08
1978,0.12
1979,0.04
1980,0.01
1981,0.09
1982,-0.15
1983,0.2
1984,0.16
1985,0.22
1986,0.02
1987,0.03
1988,0.46
1989,0.39
1990,0.29
1991,0.03
1992,0.05
1993,-0.09
1994,-0.02
1995,0.19
1996,0.26
1997,0.07
1998,0.6
1999,0.43
2000,0.33
2001,0.38
2002,0.35
2003,0.33
2004,0.18
2005,0.36
2006,0.15
2007,0.32
2008,0.3
2009,0.4
2010,0.66
2011,0.5
2012,0.47
2013,0.6
2014,0.51
2015,0.53
2016,0.78
2017,0.49
2018,0.45
2019,0.32
