number,name,state,hectacres_burned,acres_burned,other_damage,year,human_fatalities,homes_destroyed
1,Black Thursday bushfires ,Victoria ,5000000,12000000,1 million sheep thousands of cattle ,1851,12,null
2,Red Tuesday bushfires ,Victoria ,260000,640000,0,1898,12,null
3,1926 bushfires ,Victoria ,390000,960000,0,1926,60,1000
5,Black Friday bushfires ,Victoria ,2000000,4900000,0,1938,71,3700
6,1944 Victorian bushfires ,Victoria ,1000000,2500000,0,1944,15,500
7,1944 Blue Mountains bushfire ,New South Wales ,null,null,0,1944,null,40
8,1951 bushfires ,Victoria ,4000000,9900000,0,1951,11,null
9,Black Sunday bushfires ,South Australia ,39000160000,96000395000,0,1955,2,40
10,1957 Grose Valley bushfire Blue Mountains ,New South Wales ,null,null,0,1957,4,null
11,1957 Leura bushfire Blue Mountains ,New South Wales ,null,null,0,1957,null,170
12,1961 Western Australian bushfires ,Western Australia ,1800000,4400000,0,1961,null,160
13,1962 Victorian bushfires ,Victoria ,null,null,0,1962,32,450
14,1965 Gippsland bushfires ,Victoria ,315000,780000,4000 livestock ,1965,null,20
15,Southern Highlands bushfires ,New South Wales ,251000,620000,0,1965,3,59
16,Black Tuesday bushfires ,Tasmania ,264000,650000,0,1967,62,1293
17,1968-69 Killarney Top Springs bushfires ,Northern Territory ,40000000,99000000,0,1968,null,null
18,1968 Blue Mountains Bushfire ,New South Wales ,null,null,0,1968,4,120
19,1969 bushfires ,Victoria ,null,null,0,1969,23,230
20,1969-70 Dry River-Victoria River fire ,Northern Territory ,45000000,110000000,0,1969,null,null
21,1974-75 Australian bushfire season,Nationwide,117000000,290000000,15% of Australia was burnt. The damage was mostly in central Australia and so it did not impact many communities. 57000 farm animalsapproximately 10200 kilometres (6300 mi) of fencing ,1974,6,null
22,Western Districts bushfires ,Victoria ,103000,250000,0,1977,4,116
23,Blue Mountains Fires 1977 ,New South Wales ,54000,130000,0,1977,2,49
24,1978 Western Australian bushfires ,Western Australia ,114000,280000,0,1978,2,null
25,1979 Sydney bushfires ,New South Wales ,null,null,0,1979,5,28
26,1980 Waterfall bushfire ,New South Wales ,1000000,2500000,0,1980,5,14
27,Grays Point bushfire ,New South Wales ,null,null,0,1983,3,null
28,Ash Wednesday bushfires , South Australia Victoria  ,418000,1030000,0,1983,75,2400
29,1984 Western New South Wales grasslands bushfires ,New South Wales ,500000,1200000,40000 livestock $40 million damages ,1984,null,null
30,1985 Cobar bushfire ,New South Wales ,516000,1280000,0,1985,null,23
31,1984 - 85 New South Wales bushfires ,New South Wales ,3500000,8600000,0,1984,5,20
32,Central Victoria bushfires ,Victoria ,50800,126000,0,1985,3,180
33,1994 Eastern seaboard fires ,New South Wales ,400000,990000,0,1993,4,225
34,Wooroloo bushfire ,Western Australia ,10500,26000,0,1997,null,16
