DOY,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
1,6,2,146,3,14,21,17,14,4,66,4,6,7,11,7,8,2,52
2,29,3,216,6,20,30,49,30,5,113,9,29,50,13,12,30,27,112
3,88,10,261,12,28,38,68,38,7,132,12,50,77,21,24,34,58,165
4,169,22,273,18,67,58,96,47,15,146,33,88,108,22,37,60,105,198
5,243,46,307,72,87,79,112,51,19,158,48,100,121,27,38,85,182,221
6,315,61,351,87,134,106,128,58,20,173,66,114,134,41,40,108,196,242
7,347,69,409,104,154,111,131,65,23,181,99,122,173,55,40,131,216,252
8,422,71,446,105,174,111,135,72,28,211,120,154,202,67,48,159,226,252
9,524,80,492,109,192,118,140,104,35,215,158,167,266,72,59,169,268,277
10,636,91,513,111,300,152,141,117,40,231,168,172,302,78,65,173,314,281
11,733,104,515,129,339,175,149,126,44,251,168,192,360,78,75,234,376,301
12,809,106,519,129,415,186,161,134,58,285,173,197,396,80,79,272,425,319
13,903,115,528,131,507,232,167,145,62,290,173,206,429,80,80,316,468,324
14,913,143,552,132,511,237,180,157,65,305,174,206,433,87,81,331,515,350
15,941,182,620,133,512,256,192,157,68,332,174,206,433,90,88,331,591,378
16,994,219,668,137,516,268,209,159,75,333,178,206,439,95,91,339,665,448
17,1064,238,746,145,520,318,218,160,85,333,182,220,458,96,96,365,756,525
18,1142,284,765,173,522,357,238,180,98,336,195,230,484,100,115,408,844,627
19,1193,309,781,201,534,394,258,192,99,344,202,232,500,106,138,423,908,679
20,1227,335,801,214,541,433,267,233,105,360,206,234,512,112,156,477,946,719
21,1289,373,867,239,549,443,269,281,119,376,213,235,530,118,159,530,976,768
22,1331,426,915,258,560,458,278,287,127,423,219,250,560,120,159,565,1028,798
23,1399,455,994,295,569,476,318,300,135,443,223,263,578,121,165,590,1108,905
24,1472,456,1009,306,569,487,322,316,142,468,229,276,586,125,176,647,1232,1005
25,1523,467,1012,365,571,502,326,347,147,473,236,300,610,127,179,702,1328,1082
26,1582,467,1017,396,579,540,334,347,163,498,241,318,613,128,225,788,1381,1098
27,1654,499,1023,449,582,567,338,387,168,552,258,347,642,131,225,847,1446,1165
28,1682,540,1031,489,586,593,339,409,169,583,268,358,688,141,243,902,1459,1213
29,1705,597,1043,512,603,600,342,456,170,655,282,370,747,147,291,991,1490,1235
30,1728,628,1082,566,636,635,357,483,171,666,287,384,822,155,320,1015,1563,1252
31,1734,675,1100,603,657,709,367,508,171,687,334,397,931,169,376,1061,1668,1297
