DOY,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
1,51,21,164,11,33,87,25,47,35,169,15,106,66,21,195,82,6,120
2,84,73,299,52,84,206,121,104,62,199,60,230,222,39,401,96,26,240
3,217,114,387,115,162,260,213,158,86,316,105,296,332,74,468,170,74,356
4,349,224,437,152,238,383,294,246,97,389,211,369,399,102,524,205,144,426
5,497,324,622,177,316,450,380,296,135,478,323,391,654,157,548,279,205,557
6,589,381,695,219,376,548,405,339,147,696,483,449,744,210,587,336,309,599
7,731,433,860,266,457,603,478,397,185,841,553,477,1041,280,647,355,505,713
8,892,461,1009,302,518,685,492,475,197,1054,624,548,1121,360,747,416,558,775
9,979,492,1158,382,546,787,511,584,218,1144,661,602,1379,403,822,452,746,863
10,1126,524,1295,434,671,913,552,662,227,1296,666,628,1492,457,936,472,934,868
11,1240,580,1359,555,738,1045,618,815,251,1414,669,652,1700,514,1094,555,1309,967
12,1350,595,1398,592,869,1136,634,864,328,1621,671,688,1835,838,1147,726,1409,1078
13,1443,697,1434,651,878,1242,665,952,378,1801,699,731,1930,1042,1329,783,1596,1136
14,1504,771,1539,768,888,1316,698,998,436,1843,716,739,1972,1395,1349,820,1736,1289
15,1656,843,1641,816,891,1443,741,1125,469,1886,746,768,2045,1517,1373,843,1823,1384
16,1733,926,1788,959,902,1499,794,1279,580,1893,748,796,2150,1661,1413,869,1926,1591
17,1930,972,1876,1043,918,1603,819,1375,658,2047,774,844,2203,1864,1441,1196,2028,1768
18,2064,1038,1928,1189,935,1684,869,1495,696,2089,794,880,2336,1961,1467,1232,2174,1879
19,2154,1061,2003,1226,992,1807,906,1585,721,2293,823,905,2436,2168,1485,1365,2252,2133
20,2198,1161,2077,1317,1038,2032,968,1738,753,2520,897,1008,2568,2190,1587,1851,2327,2193
21,2325,1213,2221,1414,1074,2119,997,1812,813,2674,944,1013,2910,2290,1613,1932,2395,2502
22,2461,1284,2318,1469,1118,2306,1005,1898,841,2860,1038,1081,3012,2329,1708,2096,2514,2537
23,2554,1299,2418,1575,1141,2418,1005,2004,951,2985,1197,1129,3209,2360,1766,2138,2686,2824
24,2703,1319,2480,1618,1191,2516,1005,2095,983,3391,1289,1219,3267,2401,1994,2284,2823,2954
25,2840,1387,2509,1732,1214,2546,1024,2180,1027,3516,1446,1334,3412,2417,2125,2429,3107,3219
26,3060,1413,2556,1859,1352,2594,1039,2216,1057,3651,1510,1419,3504,2465,2298,2660,3230,3586
27,3189,1481,2621,2018,1401,2692,1088,2349,1091,3802,1644,1521,3666,2507,2315,2759,3516,3764
28,3257,1521,2660,2155,1459,2790,1183,2491,1159,4118,1749,1546,3812,2597,2376,2897,3633,3998
29,3312,1698,2722,2258,1539,2876,1233,2668,1163,4183,2007,1643,4011,2637,2543,3041,3909,4079
30,3353,1765,2843,2404,1673,3081,1370,2774,1239,4267,2202,1744,4195,2709,2699,3113,4113,4271
31,3393,1838,2890,2448,1760,3498,1440,2938,1251,4577,2359,1932,4304,2755,2946,3256,4348,4360
32,3424,1976,2935,2518,1834,3701,1699,3077,1376,4792,2524,1983,4401,2816,3106,3324,4542,4457
33,3468,2052,2977,2563,1945,3880,1803,3192,1445,5164,2635,2052,4480,2916,3283,3494,4648,4508
34,3505,2136,3026,2621,2013,3949,1914,3304,1550,5388,2948,2138,4587,2989,3345,3518,4708,4575
35,3609,2193,3076,2630,2281,4038,2038,3386,1697,5646,3085,2202,4690,3136,3477,3568,4751,4669
36,3619,2266,3178,2680,2424,4244,2161,3556,1734,5692,3484,2388,4827,3214,3635,3591,4856,4729
37,3695,2351,3294,2728,2663,4345,2305,3660,1875,5750,3739,2494,4943,3356,3698,3605,4877,4779
