year,new_south_wales_cip,victoria_cpi,queensland_cpi,southern_australia_cpi,western_australia_cip,tasmania_cpi,nothern_territory_cpi,australian_capital_territory_cpi
9/1/1948,3.7,3.8,3.7,3.8,3.7,3.8,,3.9
12/1/1948,3.7,3.8,3.7,3.9,3.8,3.9,,4.1
3/1/1949,3.9,3.9,3.8,4,3.9,4,,4.1
6/1/1949,3.9,4,3.9,4,4,4.1,,4.2
9/1/1949,4,4.1,4,4.1,4.1,4.1,,4.3
12/1/1949,4.1,4.2,4.1,4.1,4.2,4.2,,4.3
3/1/1950,4.1,4.3,4.1,4.2,4.2,4.2,,4.4
6/1/1950,4.3,4.4,4.2,4.4,4.4,4.3,,4.6
9/1/1950,4.4,4.5,4.3,4.4,4.5,4.4,,4.7
12/1/1950,4.6,4.6,4.4,4.6,4.6,4.5,,4.8
3/1/1951,4.7,4.9,4.7,4.8,4.8,4.8,,5.1
6/1/1951,5.1,5.1,4.9,5.1,5.1,5.2,,5.4
9/1/1951,5.4,5.4,5.1,5.4,5.4,5.4,,5.7
12/1/1951,5.7,5.8,5.6,5.7,5.7,5.8,,6
3/1/1952,5.9,5.9,5.8,5.9,6,6,,6.2
6/1/1952,6.1,6.2,5.9,6.2,6.2,6.2,,6.5
9/1/1952,6.2,6.3,6.1,6.3,6.4,6.3,,6.7
12/1/1952,6.3,6.3,6.1,6.3,6.4,6.4,,6.7
3/1/1953,6.3,6.4,6.1,6.4,6.5,6.5,,6.8
6/1/1953,6.4,6.5,6.2,6.4,6.5,6.6,,6.8
9/1/1953,6.4,6.5,6.2,6.5,6.6,6.8,,6.9
12/1/1953,6.4,6.5,6.2,6.5,6.6,6.8,,7
3/1/1954,6.4,6.5,6.2,6.5,6.6,6.8,,6.9
6/1/1954,6.4,6.5,6.2,6.5,6.7,6.8,,6.9
9/1/1954,6.4,6.4,6.2,6.5,6.7,6.7,,6.9
12/1/1954,6.4,6.4,6.2,6.5,6.7,6.7,,7
3/1/1955,6.5,6.5,6.3,6.6,6.7,6.8,,7
6/1/1955,6.5,6.6,6.3,6.6,6.8,6.8,,7.1
9/1/1955,6.5,6.7,6.3,6.6,6.8,7,,7.2
12/1/1955,6.6,6.8,6.4,6.7,6.9,7.1,,7.2
3/1/1956,6.6,6.9,6.5,6.8,6.9,7.2,,7.3
6/1/1956,6.9,7.2,6.7,7,7.1,7.4,,7.4
9/1/1956,7.1,7.3,6.8,7.1,7.1,7.5,,7.6
12/1/1956,7.1,7.3,6.8,7.1,7.2,7.6,,7.7
3/1/1957,7.1,7.2,6.8,7,7.2,7.6,,7.7
6/1/1957,7.1,7.3,6.9,7.1,7.3,7.6,,7.7
9/1/1957,7.2,7.3,6.9,7.1,7.3,7.6,,7.7
12/1/1957,7.2,7.3,6.9,7.1,7.2,7.6,,7.7
3/1/1958,7.3,7.3,7,7.1,7.2,7.6,,7.7
6/1/1958,7.3,7.3,7,7.1,7.3,7.6,,7.8
9/1/1958,7.2,7.3,7.1,7.2,7.3,7.6,,7.7
12/1/1958,7.3,7.5,7.2,7.2,7.3,7.7,,7.8
3/1/1959,7.3,7.5,7.2,7.3,7.4,7.7,,7.8
6/1/1959,7.3,7.5,7.2,7.3,7.4,7.7,,7.9
9/1/1959,7.3,7.6,7.3,7.4,7.4,7.7,,7.9
12/1/1959,7.4,7.6,7.4,7.4,7.4,7.7,,7.9
3/1/1960,7.4,7.7,7.4,7.5,7.5,7.8,,8
6/1/1960,7.5,7.9,7.4,7.6,7.6,7.9,,8
9/1/1960,7.6,8,7.5,7.7,7.7,8.1,,8.2
12/1/1960,7.7,8,7.6,7.8,7.7,8.2,,8.2
3/1/1961,7.7,8,7.7,7.8,7.8,8.3,,8.2
6/1/1961,7.8,8.1,7.7,7.9,7.9,8.3,,8.3
9/1/1961,7.7,8.1,7.7,7.8,7.8,8.4,,8.3
12/1/1961,7.7,8.1,7.7,7.8,7.7,8.3,,8.4
3/1/1962,7.7,8,7.8,7.7,7.8,8.3,,8.3
6/1/1962,7.7,8,7.8,7.7,7.8,8.3,,8.3
9/1/1962,7.7,8,7.8,7.7,7.8,8.3,,8.3
12/1/1962,7.8,8,7.8,7.7,7.8,8.3,,8.4
3/1/1963,7.8,8,7.8,7.7,7.9,8.3,,8.3
6/1/1963,7.8,8.1,7.8,7.8,7.9,8.3,,8.3
9/1/1963,7.8,8.1,7.8,7.8,7.9,8.3,,8.4
12/1/1963,7.8,8.1,7.8,7.8,7.9,8.4,,8.4
3/1/1964,7.8,8.1,7.9,7.8,8,8.4,,8.4
6/1/1964,7.9,8.2,8,8,8,8.4,,8.4
9/1/1964,8,8.2,8.1,8.1,8.1,8.5,,8.5
12/1/1964,8.1,8.4,8.1,8.2,8.1,8.6,,8.7
3/1/1965,8.1,8.5,8.2,8.2,8.2,8.6,,8.7
6/1/1965,8.2,8.6,8.3,8.2,8.3,8.8,,8.8
9/1/1965,8.3,8.6,8.4,8.3,8.4,8.9,,8.8
12/1/1965,8.4,8.8,8.5,8.4,8.4,9,,8.9
3/1/1966,8.4,8.8,8.6,8.4,8.5,8.9,,8.9
6/1/1966,8.4,8.8,8.7,8.6,8.7,9,,8.9
9/1/1966,8.5,8.9,8.7,8.6,8.7,9,,9
12/1/1966,8.5,8.9,8.8,8.7,8.8,9,,9
3/1/1967,8.6,9,8.8,8.7,8.9,9.2,,9.1
6/1/1967,8.7,9.2,8.9,8.8,9,9.3,,9.2
9/1/1967,8.8,9.3,9,8.9,9,9.5,,9.3
12/1/1967,8.8,9.3,9,8.9,9.1,9.6,,9.3
3/1/1968,8.9,9.3,9.1,8.9,9.1,9.5,,9.3
6/1/1968,8.9,9.4,9.1,9,9.2,9.5,,9.4
9/1/1968,8.9,9.4,9.2,9,9.2,9.6,,9.4
12/1/1968,9.1,9.5,9.2,9.1,9.2,9.7,,9.4
3/1/1969,9.2,9.5,9.3,9.2,9.4,9.7,,9.5
6/1/1969,9.2,9.6,9.4,9.2,9.5,9.8,,9.5
9/1/1969,9.3,9.7,9.4,9.3,9.5,9.8,,9.6
12/1/1969,9.4,9.7,9.5,9.3,9.6,9.9,,9.7
3/1/1970,9.5,9.8,9.6,9.4,9.7,9.9,,9.8
6/1/1970,9.7,9.9,9.6,9.5,9.9,10,,9.9
9/1/1970,9.7,9.9,9.7,9.5,9.9,10,,10
12/1/1970,9.9,10.1,10,9.7,10,10.3,,10.3
3/1/1971,10.1,10.2,10.1,9.8,10.1,10.3,,10.3
6/1/1971,10.3,10.3,10.3,10,10.3,10.5,,10.5
9/1/1971,10.6,10.5,10.4,10.1,10.4,10.7,,10.7
12/1/1971,10.8,10.7,10.7,10.3,10.6,11,,10.8
3/1/1972,10.9,10.8,10.8,10.4,10.8,11.1,,10.9
6/1/1972,11.1,11,10.9,10.5,10.9,11.1,,11
9/1/1972,11.2,11.1,10.9,10.7,11,11.3,,11.2
12/1/1972,11.3,11.2,11.1,10.8,11.1,11.4,,11.3
3/1/1973,11.6,11.5,11.4,11,11.3,11.6,,11.5
6/1/1973,11.9,11.9,11.7,11.4,11.6,12,,11.9
9/1/1973,12.3,12.3,12.2,11.8,11.9,12.3,,12.3
12/1/1973,12.8,12.7,12.7,12.3,12.3,12.9,,12.8
3/1/1974,13.1,13,13,12.6,12.5,13.1,,13.2
6/1/1974,13.6,13.6,13.4,13.2,13,13.7,,13.6
9/1/1974,14.4,14.3,14.2,13.8,13.6,14.4,,14.3
12/1/1974,14.9,14.7,14.6,14.4,14.4,15.1,,14.8
3/1/1975,15.3,15.4,15,15.1,15,15.4,,15.1
6/1/1975,15.9,15.9,15.4,15.6,15.6,15.9,,15.8
9/1/1975,16.1,15.9,15.7,15.5,15.6,16.1,,15.7
12/1/1975,16.9,16.9,16.7,16.3,16.5,17.3,,17
3/1/1976,17.4,17.3,17.1,16.9,17.1,17.7,,17.4
6/1/1976,17.8,17.8,17.6,17.4,17.7,18.3,,18
9/1/1976,18.1,18.2,18,17.9,18.2,18.7,,18.4
12/1/1976,19.1,19.3,19.1,19.1,19.3,19.8,,19.4
3/1/1977,19.5,19.8,19.5,19.5,19.8,20.2,,19.7
6/1/1977,19.9,20.4,19.9,19.9,20.2,20.7,,20
9/1/1977,20.3,20.8,20.3,20.4,20.7,21.2,,20.4
12/1/1977,20.7,21.2,20.7,20.9,21.5,21.7,,21.1
3/1/1978,21,21.5,21.1,21.1,21.7,22,,21.3
6/1/1978,21.4,22,21.5,21.5,22.1,22.4,,21.6
9/1/1978,21.9,22.4,21.9,22,22.5,22.7,,22.1
12/1/1978,22.4,22.8,22.6,22.3,23,23.2,,22.6
3/1/1979,22.8,23.2,22.8,22.7,23.3,23.7,,23
6/1/1979,23.5,23.8,23.3,23.3,24,24.4,,23.7
9/1/1979,24.1,24.5,23.8,23.7,24.4,25,,24.3
12/1/1979,24.7,25.1,24.6,24.6,25.2,25.7,,24.9
3/1/1980,25.4,25.5,25.2,25.1,25.7,26.2,,25.6
6/1/1980,26.1,26.3,25.8,25.8,26.3,26.8,,26.3
9/1/1980,26.6,26.8,26.2,26.1,26.9,27.5,28.8,26.8
12/1/1980,27.1,27.4,26.8,26.7,27.3,28,29.5,27.4
3/1/1981,27.9,28,27.4,27.4,27.9,28.6,30.1,28
6/1/1981,28.4,28.6,28.1,28.1,28.5,29.2,30.6,28.7
9/1/1981,28.9,29.3,28.8,28.7,29.4,29.9,31.3,29.3
12/1/1981,30.1,30.6,29.9,29.8,30.7,31,33.1,30.5
3/1/1982,30.7,31,30.6,30.2,31,31.5,33.6,31
6/1/1982,31.6,31.7,31,31,31.6,32.1,34.2,31.9
9/1/1982,32.7,32.8,32,32.1,32.8,33.1,35.3,32.9
12/1/1982,33.7,33.7,33.1,33,33.7,34.2,36.4,34.2
3/1/1983,34.4,34.4,33.9,33.9,34.2,35,37.1,34.9
6/1/1983,35.1,35.4,34.3,34.8,34.8,35.6,37.8,35.5
9/1/1983,35.5,35.9,35.1,35.3,35.8,36.1,38.3,36
12/1/1983,36.2,37,35.8,36,36.5,36.9,38.8,36.9
3/1/1984,36.1,36.8,35.9,36,36.2,37,39,36.9
6/1/1984,36.1,36.9,36.2,36.1,36.2,37,39,37
9/1/1984,36.5,37.5,36.7,36.4,36.8,37.4,39.5,37.5
12/1/1984,37.1,37.9,37.1,37.2,37.2,38.2,39.9,38.1
3/1/1985,37.6,38.4,37.6,37.7,37.8,38.8,40.3,38.7
6/1/1985,38.4,39.5,38.3,38.7,38.7,39.7,41.2,39.6
9/1/1985,39.3,40.3,39.3,39.5,39.4,40.7,42.6,40.5
12/1/1985,40.2,41,40,40.4,40.3,41.5,43.1,41.4
3/1/1986,41.1,42.1,41,41,41,42.2,43.9,42.3
6/1/1986,41.8,42.8,41.4,41.8,41.7,43.1,44.4,43
9/1/1986,42.8,43.9,42.5,43,43.1,44.2,45.6,43.9
12/1/1986,44.1,45.2,43.6,44.1,44.4,45.7,47.2,45
3/1/1987,45,46,44.5,44.9,45.2,46.6,48,45.8
6/1/1987,45.7,46.8,45.1,45.6,46,47.4,48.8,46.5
9/1/1987,46.5,47.6,45.7,46.1,46.7,48.2,49.6,47.1
12/1/1987,47.2,48.4,46.6,47.1,47.5,49,50.4,48
3/1/1988,48.3,49.1,47.4,47.7,48.2,49.8,51.1,48.9
6/1/1988,49,50.1,48.3,48.5,49.1,50.5,51.9,49.8
9/1/1988,50.3,50.8,49,49.5,50.1,51.1,52.2,50.4
