SPRAT ID,Scientific Name,Common Name,URL,Percentage of the species modelled likely and known distribution within fire affected areas,Type,EPBC Act listed Threatened Status,EPBC Act listed Migratory Status,Range states and territories
55562,Acacia awestoniana,Stirling Range Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55562,≥80%,Plant,Vulnerable,,WA
10798,Acacia constablei,Narrabarba Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10798,≥80%,Plant,Vulnerable,,NSW
16916,Andersonia axilliflora,Giant Andersonia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16916,≥80%,Plant,Endangered,,WA
64838,Baeckea kandos,a shrub,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64838,≥80%,Plant,Endangered,,NSW
89125,Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89125,≥80%,Spider,Vulnerable,,WA
55850,Budawangia gnidioides,Budawangs Cliff-heath,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55850,≥80%,Plant,Vulnerable,,NSW
56501,Callistemon forresterae,Forrester's Bottlebrush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56501,≥80%,Plant,Vulnerable,,"NSW, Vic"
64862,Callistemon kenmorrisonii,Betka Bottlebrush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64862,≥80%,Plant,Vulnerable,,Vic
15694,Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15694,≥80%,Plant,Vulnerable,,WA
76351,Eidothea hardeniana,Nightcap Oak,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76351,≥80%,Plant,Critically Endangered,,NSW
12623,Eucalyptus imlayensis,"Imlay Mallee, Mount Imlay Mallee",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12623,≥80%,Plant,Endangered,,NSW
64898,Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64898,≥80%,Plant,Endangered,,NSW
82281,Eucalyptus sp. Howes Swamp Creek (M.Doherty 26),,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82281,≥80%,Plant,Endangered,,NSW
78406,Gastrolobium vestitum,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78406,≥80%,Plant,Critically Endangered,,WA
68379,Genoplesium vernale,East Lynne Midge-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68379,≥80%,Plant,Vulnerable,,NSW
15882,Gentiana bredboensis,Bredbo Gentian,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15882,≥80%,Plant,Critically Endangered,,NSW
10786,Gentiana wissmannii,New England Gentian,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10786,≥80%,Plant,Vulnerable,,NSW
22248,Grevillea evansiana,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22248,≥80%,Plant,Vulnerable,,NSW
64524,Grevillea mollis,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64524,≥80%,Plant,Endangered,,NSW
22052,Grevillea molyneuxii,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22052,≥80%,Plant,Endangered,,NSW
64678,Grevillea rhizomatosa,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64678,≥80%,Plant,Vulnerable,,NSW
66701,Hakea dohertyi,a shrub,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66701,≥80%,Plant,Endangered,,NSW
21970,Hibbertia marginata,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21970,≥80%,Plant,Vulnerable,,NSW
89455,Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89455,≥80%,Plant,Critically Endangered,,WA
19980,Isopogon fletcheri,Fletcher's Drumsticks,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19980,≥80%,Plant,Vulnerable,,NSW
85004,Latrobea colophona,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85004,≥80%,Plant,Critically Endangered,,WA
64927,Leionema sympetalum,Rylstone Bell,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64927,≥80%,Plant,Vulnerable,,NSW
21806,Leptospermum thompsonii,Monga Tea-tree,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21806,≥80%,Plant,Vulnerable,,NSW
13105,Logania insularis,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13105,≥80%,Plant,Vulnerable,,SA
64935,Nematolepis frondosa,Leafy Nematolepis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64935,≥80%,Plant,Vulnerable,,Vic
64936,Nematolepis rhytidophylla,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64936,≥80%,Plant,Vulnerable,,NSW
6710,Olearia cordata,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6710,≥80%,Plant,Vulnerable,,NSW
19832,Plinthanthesis rodwayi,Budawangs Wallaby-grass,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19832,≥80%,Plant,Vulnerable,,NSW
21870,Pomaderris gilmourii var. cana,Grey Deua Pomaderris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21870,≥80%,Plant,Vulnerable,,NSW
84276,Prasophyllum bagoense,Bago Leek-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84276,≥80%,Plant,Critically Endangered,,NSW
